#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-05-06T22:46:37 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-05-06T22:46:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-source=J/A+A/654/A130/calib&-order=I&-out=El&-out=lambdaAir&-out=n_lambdaAir&-out=lambdaVac&-out=EGES&-out=loggGES&-out=loggRVS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36540130
#Name: J/A+A/654/A130
#Title: GSP-spec line list (Contursi+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/654/a130	    IVOID of underlying data collection
#INFO	creator=Contursi G.	    First author or institution
#INFO	cites=bibcode:2021A&A...654A.130C	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/654/A130	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36540130	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-09-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_654_A130_calib:
#Name: J/A+A/654/A130/calib
#Title: List of calibrated lines
#Column	El	(A5)	Element and its ionisation state	[ucd=phys.atmol.element;phys.atmol.ionization]
#Column	lambdaAir	(F8.4)	Air wavelength	[ucd=em.wl]
#Column	n_lambdaAir	(A1)	[*] Note on lambdaAir (1)	[ucd=meta.note]
#Column	lambdaVac	(F8.4)	Vacuum wavelength (2)	[ucd=em.wl]
#Column	EGES	(F6.3)	Lower excitation potential (from GES line list)	[ucd=phys.atmol.excitation;stat.min]
#Column	loggGES	(F6.3)	? Oscillator strength from the GES line list	[ucd=phys.atmol.oscStrength]
#Column	loggRVS	(F6.3)	Oscillator strength calibrated	[ucd=phys.atmol.oscStrength]
El	lambdaAir	n_lambdaAir	lambdaVac	EGES	loggGES	loggRVS
S I  	867.0240	 	867.2622	 7.866	-1.210	-1.000
S I  	867.0650	 	867.3032	 7.866	-0.860	-0.600
S I  	867.1300	 	867.3682	 7.866	-0.970	-0.740
S I  	867.8990	 	868.1374	 7.868	-1.340	-1.080
S I  	868.0460	 	868.2844	 7.868	-0.540	-0.400
S I  	869.3137	*	869.5525	 7.870	-1.690	-1.500
S I  	869.3931	*	869.6319	 7.870	-0.850	-0.450
S I  	869.4626	*	869.7014	 7.870	 0.101	 0.150
Ca I 	852.5716	 	852.8058	 4.430	-1.682	-0.900
Ca I 	858.3322	 	858.5680	 4.441	-1.502	-0.650
Ca I 	860.8178	 	861.0543	 4.443	-2.090	-1.900
Ca I 	863.3934	 	863.6306	 4.451	-1.329	-0.480
Ca II	849.8023	 	850.0358	 1.692	-1.416	-1.440
Ca II	854.2091	 	854.4438	 1.700	-0.463	-0.500
Ca II	866.2141	 	866.4520	 1.692	-0.723	-0.750
Ti I 	846.7147	 	846.9474	 2.117	-1.101	-1.340
Ti I 	849.4450	 	849.6784	 1.739	-2.071	-2.320
Ti I 	849.6009	 	849.8343	 2.250	-1.230	-1.480
Ti I 	851.8027	 	852.0367	 2.134	-0.936	-1.050
Ti I 	851.8354	 	852.0695	 1.879	-1.050	-1.070
Ti I 	853.9342	 	854.1688	 2.239	-1.370	-1.800
Ti I 	854.8089	 	855.0438	 1.873	-1.160	-1.230
Ti I 	856.9738	 	857.2092	 2.231	-1.690	-1.618
Ti I 	858.6307	 	858.8666	 4.225	-1.234	-0.906
Ti I 	859.8174	 	860.0536	 2.267	-1.540	-1.800
Ti I 	860.0980	 	860.3343	 2.250	-2.050	-1.900
Ti I 	861.8424	 	862.0792	 2.239	-1.980	-1.800
Ti I 	867.5372	 	867.7755	 1.067	-1.500	-1.620
Ti I 	868.2983	 	868.5368	 1.053	-1.790	-1.910
Ti I 	868.4232	 	868.6617	 1.734	-2.690	-2.500
Ti I 	869.2329	 	869.4717	 1.046	-2.130	-2.260
Ti II	846.7718	 	847.0045	 2.590	-3.139	-3.060
Cr I 	854.3719	 	854.6066	 2.708	-2.420	-2.180
Cr I 	855.3169	 	855.5519	 3.375	-2.397	-2.700
Cr I 	864.3018	 	864.5392	 2.710	-2.223	-2.440
Cr I 	868.7451	 	868.9837	 3.375	-1.841	-1.870
Mn I 	865.4593	 	865.6970	 5.673	-0.966	 0.000
Mn I 	867.0875	 	867.3257	 4.425	-0.814	-1.400
Mn I 	867.2020	 	867.4402	 4.425	-0.668	-0.900
Mn I 	867.3928	 	867.6311	 4.425	-0.844	-1.300
Mn I 	869.9091	 	870.1480	 4.429	-1.048	-1.350
Fe I 	846.1430	 	846.3755	 3.603	-5.457	-6.196
Fe I 	846.3994	 	846.6320	 5.067	-1.729	-2.270
Fe I 	846.5198	 	846.7524	 5.010	-2.086	-2.050
Fe I 	846.6109	 	846.8435	 4.988	-2.372	-2.080
Fe I 	846.6535	 	846.8861	 4.143	-2.782	-2.820
Fe I 	846.8406	 	847.0733	 2.223	-2.071	-1.950
Fe I 	847.1743	 	847.4071	 4.956	-0.910	-1.030
Fe I 	848.0633	 	848.2963	 4.988	-1.818	-1.520
Fe I 	848.1981	 	848.4312	 4.186	-1.988	-2.090
Fe I 	848.2886	 	848.5217	 4.966	-2.379	-2.100
Fe I 	849.2943	 	849.5277	 0.990	-7.562	-7.300
Fe I 	849.3795	 	849.6129	 4.956	-2.258	-1.780
Fe I 	849.6493	 	849.8828	 4.415	-2.548	-2.400
Fe I 	849.6989	 	849.9324	 4.608	-0.727	-0.900
Fe I 	850.2670	 	850.5006	 1.011	-6.901	-7.700
Fe I 	851.1682	 	851.4021	 2.845	-4.710	-5.250
Fe I 	851.4072	 	851.6411	 2.198	-2.227	-2.190
Fe I 	851.5108	 	851.7448	 3.018	-2.073	-2.020
Fe I 	851.7084	 	851.9424	 5.106	-1.868	-2.200
Fe I 	852.5027	 	852.7369	 4.584	-3.615	-2.100
Fe I 	852.6669	 	852.9012	 4.913	-0.615	-0.600
Fe I 	852.7853	 	853.0196	 5.020	-1.625	-1.590
Fe I 	853.1155	 	853.3499	 4.966	-2.930	-3.000
Fe I 	853.8015	 	854.0361	 4.913	-2.354	-1.250
Fe I 	853.8175	 	854.0521	 2.832	-4.663	-4.626
Fe I 	853.9130	 	854.1476	 4.191	-3.799	-4.000
Fe I 	855.9738	 	856.2090	 5.106	-1.509	-1.880
Fe I 	856.1605	 	856.3957	 5.720	-1.560	-1.240
Fe I 	856.2104	 	856.4456	 4.473	-2.846	-1.970
Fe I 	856.7790	 	857.0144	 4.913	-2.319	-2.100
Fe I 	857.1805	 	857.4160	 5.010	-1.110	-1.130
Fe I 	857.6475	 	857.8831	 4.593	-2.507	-2.620
Fe I 	858.2258	 	858.4616	 2.990	-2.133	-2.120
Fe I 	858.4793	 	858.7151	 5.010	-1.466	-1.950
Fe I 	858.8412	 	859.0771	 2.858	-4.742	-4.800
Fe I 	859.2120	 	859.4480	 5.010	-3.227	-2.150
Fe I 	859.2950	 	859.5311	 4.956	-1.066	-0.750
Fe I 	859.8828	 	860.1190	 4.387	-1.182	-1.280
Fe I 	860.1047	 	860.3410	 5.112	-1.577	-2.600
Fe I 	860.7080	 	860.9445	 5.010	-1.615	-1.400
Fe I 	861.0609	 	861.2974	 4.435	-1.690	-1.770
Fe I 	861.1803	 	861.4169	 2.845	-1.915	-1.900
Fe I 	861.3939	 	861.6305	 4.988	-1.247	-1.130
Fe I 	861.6280	 	861.8647	 4.913	-0.655	-0.950
Fe I 	861.8141	 	862.0508	 4.956	-1.805	-3.000
Fe I 	862.1601	 	862.3969	 2.949	-2.320	-2.340
Fe I 	863.2414	 	863.4785	 4.103	-2.320	-2.470
Fe I 	863.4712	 	863.7084	 4.218	-3.445	-3.480
Fe I 	863.6528	 	863.8900	 4.580	-3.362	-3.300
Fe I 	864.3307	 	864.5681	 4.913	-2.341	-2.330
Fe I 	864.7848	 	865.0224	 5.720	-1.695	-1.500
Fe I 	864.8042	 	865.0418	 5.879	-2.385	-1.300
Fe I 	865.2480	 	865.4857	 4.154	-2.589	-2.730
Fe I 	865.4081	 	865.6458	 4.966	-2.227	-2.310
Fe I 	865.6674	 	865.9052	 5.020	-2.577	-1.850
Fe I 	866.3717	 	866.6097	 4.988	-1.369	-1.340
Fe I 	866.6815	 	866.9196	 4.580	-3.384	-3.700
Fe I 	866.7367	 	866.9748	 2.453	-4.950	-4.780
Fe I 	866.8914	 	867.1295	 4.191	-2.927	-3.070
Fe I 	867.1860	 	867.4242	 5.020	-1.633	-1.490
Fe I 	867.4745	 	867.7128	 2.832	-1.783	-1.770
Fe I 	867.5791	 	867.8174	 4.988	-2.284	-2.120
Fe I 	867.8931	 	868.1315	 2.453	-5.432	-4.608
Fe I 	867.9632	 	868.2016	 4.966	-1.286	-1.180
Fe I 	868.0790	 	868.3174	 4.186	-2.734	-2.770
Fe I 	868.6780	 	868.9166	 4.988	-2.465	-2.060
Fe I 	868.8624	 	869.1011	 2.176	-1.211	-1.100
Fe I 	868.9700	 	869.2087	 3.047	-3.700	-3.820
Fe I 	868.9858	 	869.2245	 5.106	-1.030	-1.620
Fe I 	869.2959	 	869.5347	 5.742	-2.583	-2.583
Fe I 	869.8706	 	870.1095	 2.990	-3.452	-3.380
Fe I 	869.9454	 	870.1843	 4.956	-0.370	-0.470
Fe II	848.6219	 	848.8551	 6.724	-2.477	-2.200
Fe II	858.5580	*	858.7939	 1.207	      	 2.850
Co I 	855.9013	 	856.1365	 4.240	-1.269	-0.250
Co I 	856.1601	 	856.3953	 5.446	      	-2.680
Co I 	857.4548	 	857.6904	 2.700	-9.091	-2.080
Co I 	857.5272	 	857.7628	 2.787	-1.625	-1.900
Co I 	858.6667	 	858.9026	 4.149	-0.614	-0.700
Ni I 	848.1044	 	848.3374	 5.514	      	-1.500
Ni I 	850.1796	 	850.4132	 3.847	-1.801	-1.640
Ni I 	857.9943	 	858.2300	 5.280	-1.360	-1.500
Ni I 	860.6373	 	860.8737	 5.284	-0.461	-0.650
Ni I 	862.0070	 	862.2438	 5.288	-1.376	-3.000
Ni I 	863.6992	 	863.9365	 3.847	-1.693	-1.830
Sm II	848.6010	 	848.8342	 1.687	-0.820	-0.850

