#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-05-06T23:04:34 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-05-06T23:04:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-out.src=J/A+A/645/A19/tablea1&-source=J/A+A/645/A19/tablea1&-out=lambdaAir&-out=Line&-out=log(gf)&-out=EP&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36450019
#Name: J/A+A/645/A19
#Title: Arcturus Lab (line list) (Fanelli+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/645/a19	    IVOID of underlying data collection
#INFO	creator=Fanelli C.	    First author or institution
#INFO	cites=bibcode:2021A&A...645A..19F	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/645/A19	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36450019	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_645_A19_tablea1:
#Name: J/A+A/645/A19/tablea1
#Title: Optical atomic lines
#Column	lambdaAir	(F9.3)	Air wavelength	[ucd=em.wl]
#Column	Line	(F7.2)	Line identification (1)	[ucd=meta.id;spect.line]
#Column	log(gf)	(F6.3)	Oscillator strength	[ucd=phys.atmol.oscStrength]
#Column	EP	(F5.2)	Energy potential	[ucd=phys.energy;phys.atmol.level]
lambdaAir	Line	log(gf)	EP
 6264.810	  22.00	-2.260	 1.74
 6266.010	  22.00	-1.950	 1.75
 6266.307	  23.00	-2.290	 0.28
 6268.525	  22.00	-2.260	 1.43
 6271.277	  26.00	-2.703	 3.33
 6273.388	  22.00	-4.008	 0.02
 6274.652	  23.00	-1.700	 0.27
 6276.295	  21.00	-2.605	 0.02
 6285.160	  23.00	-1.540	 0.28
 6290.542	  26.00	-4.330	 2.59
 6300.304	   8.00	-9.776	 0.00
 6300.698	  21.01	-1.898	 1.51
 6305.657	  21.00	-1.240	 0.02
 6309.920	  21.01	-1.618	 1.50
 6312.236	  22.00	-1.550	 1.46
 6318.717	  12.00	-2.103	 5.11
 6319.237	  12.00	-2.324	 5.11
 6320.851	  21.01	-1.816	 1.50
 6322.166	  28.00	-1.170	 4.15
 6325.164	  22.00	-3.757	 0.02
 6326.836	  23.00	-0.760	 1.87
 6327.599	  28.00	-3.170	 1.68
 6330.091	  24.00	-2.920	 0.94
 6336.099	  22.00	-1.690	 1.44
 6338.875	  26.00	-1.060	 4.80
 6359.888	  22.00	-4.070	 0.05
 6362.338	  30.00	 0.150	 5.79
 6369.459	  26.01	-4.290	 2.89
 6370.346	  28.00	-1.940	 3.54
 6378.250	  28.00	-0.820	 4.15
 6378.807	  21.00	-2.420	 0.00
 6385.718	  26.00	-1.910	 4.73
 6392.538	  26.00	-4.030	 2.28
 6395.472	  22.00	-2.540	 1.50
 6419.088	  22.00	-1.530	 2.17
 6432.676	  26.01	-3.520	 2.89
 6436.405	  26.00	-2.460	 4.19
 6449.808	  20.00	-0.502	 2.52
 6454.994	  27.00	-0.250	 3.63
 6455.598	  20.00	-1.340	 2.52
 6456.379	  26.01	-2.200	 3.90
 6471.662	  20.00	-0.686	 2.53
 6477.859	  27.00	-0.612	 3.77
 6482.798	  28.00	-2.630	 1.94
 6493.781	  20.00	-0.109	 2.52
 6497.684	  22.00	-2.020	 1.44
 6499.650	  20.00	-0.818	 2.52
 6508.121	  22.00	-2.030	 1.43
 6527.202	  14.00	-1.072	 5.87
 6531.421	  23.00	-0.850	 1.22
 6533.928	  26.00	-1.460	 4.56
 6543.504	  23.00	-1.710	 1.19
 6554.223	  22.00	-1.150	 1.44
 6555.462	  14.00	-1.163	 5.98
 6556.062	  22.00	-1.060	 1.46
 6559.563	  22.01	-2.175	 2.05
 6560.566	  14.00	-1.409	 5.96
 6581.209	  26.00	-4.679	 1.48
 6583.708	  14.00	-1.741	 5.95
 6595.864	  27.00	-0.549	 3.71
 6598.598	  28.00	-0.980	 4.24
 6599.105	  22.00	-1.715	 0.90
 6604.601	  21.01	-1.309	 1.36
 6606.950	  22.01	-2.799	 2.06
 6608.024	  26.00	-4.030	 2.28
 6632.439	  27.00	-2.000	 2.28
 6633.748	  26.00	-0.799	 4.56
 6646.930	  26.00	-3.990	 2.61
 6653.851	  26.00	-2.520	 4.15
 6661.075	  24.00	-0.190	 4.19
 6667.417	  26.00	-4.400	 2.45
 6678.569	  22.00	-1.360	 2.25
 6678.809	  27.00	-2.680	 1.96
 6680.134	  22.01	-1.890	 3.09
 6689.260	  22.00	-1.670	 2.25
 6696.023	  13.00	-1.347	 3.14
 6698.673	  13.00	-1.647	 3.14
 6703.565	  26.00	-3.160	 2.76
 6710.317	  26.00	-4.880	 1.48
 6713.742	  26.00	-1.600	 4.80
 6725.355	  26.00	-2.300	 4.10
 6726.666	  26.00	-1.094	 4.61
 6733.150	  26.00	-1.580	 4.64
 6739.520	  26.00	-4.794	 1.56
 6745.100	  26.00	-2.160	 4.58
 6745.544	  22.00	-1.230	 2.24
 6746.953	  26.00	-4.350	 2.61
 6757.150	  16.00	-0.240	 7.87
 6772.315	  28.00	-0.980	 3.66
 6784.256	  13.00	-1.285	 4.02
 6786.858	  26.00	-2.070	 4.19
 6798.479	  20.00	-2.545	 2.71
 6804.271	  26.00	-1.813	 4.58
 6806.842	  26.00	-3.210	 2.73
 6837.005	  26.00	-1.687	 4.59
 6839.830	  26.00	-3.450	 2.56
 6841.338	  26.00	-0.750	 4.61
 6842.685	  26.00	-1.320	 4.64
 6851.635	  26.00	-5.320	 1.61
 6854.823	  26.00	-1.926	 4.59
 6855.161	  26.00	-0.742	 4.56
 6857.249	  26.00	-2.150	 4.08
 6858.148	  26.00	-0.930	 4.61
 6859.479	  26.00	-4.520	 2.85
 6860.283	  26.00	-4.150	 2.61
 6861.445	  22.00	-0.730	 2.27
 6861.937	  26.00	-3.890	 2.42
 6864.311	  26.00	-2.320	 4.56
 6882.512	  24.00	-0.375	 3.44
 6883.052	  24.00	-0.420	 3.44
 6894.918	  12.00	-1.640	 5.75
 6911.082	  19.00	-1.418	 1.61
 6911.511	  26.00	-4.040	 2.42
 6916.680	  26.00	-1.450	 4.15
 6924.179	  24.00	-0.094	 3.45
 6925.271	  24.00	-0.330	 3.45
 6971.932	  26.00	-3.340	 3.02
 6976.513	  14.00	-1.170	 5.95
 6976.922	  26.00	-1.850	 4.58
 6977.428	  26.00	-1.564	 4.59
 6978.397	  24.00	 0.184	 3.46
 6979.159	  26.00	-4.214	 2.83
 6980.903	  24.00	-1.120	 3.46
 6988.523	  26.00	-3.660	 2.40
 6992.878	  14.00	-1.451	 5.87
 7000.614	  26.00	-2.386	 4.14
 7001.541	  28.00	-3.550	 1.94
 7003.569	  14.00	-0.890	 5.96
 7014.986	  26.00	-4.250	 2.45
 7017.653	  14.00	-1.032	 5.87
 7022.952	  26.00	-1.250	 4.19
 7030.011	  28.00	-1.730	 3.54
 7034.372	  28.00	-2.010	 3.54
 7034.900	  14.00	-0.880	 5.87
 7050.688	  22.00	-1.200	 2.34
 7062.956	  28.00	-3.420	 1.95
 7065.212	  22.00	-2.219	 1.46
 7068.409	  26.00	-1.380	 4.08
 7069.531	  26.00	-4.340	 2.56
 7083.395	  26.00	-1.202	 4.91
 7084.643	  13.00	-0.956	 4.02
 7086.725	  26.00	-2.356	 3.60
 7103.145	  26.00	-4.485	 2.43
 7112.167	  26.00	-2.998	 2.99
 7114.548	  26.00	-4.010	 2.69
 7118.096	  26.00	-1.570	 5.01
 7127.567	  26.00	-1.046	 4.99
 7130.304	  22.00	-2.324	 1.46
 7130.920	  26.00	-0.790	 4.22
 7132.986	  26.00	-1.628	 4.08
 7148.150	  20.00	 0.137	 2.71
 7188.566	  22.00	-1.710	 1.43
 7209.436	  22.00	-0.430	 1.46
 7214.729	  22.01	-1.740	 2.59
 7219.682	  26.00	-1.690	 4.08
 7226.208	  14.00	-1.510	 5.61
 7251.709	  22.00	-0.760	 1.43
 7275.296	  14.00	-0.848	 5.62
 7284.834	  26.00	-1.750	 4.14
 7326.145	  20.00	-0.208	 2.93
 7326.458	  25.00	-0.253	 4.43
 7337.730	  22.00	-1.406	 2.24
 7351.512	  26.00	-0.638	 4.96
 7352.124	  22.00	-1.040	 2.49
 7355.890	  24.00	-0.285	 2.89
 7375.246	  14.00	-1.049	 6.19
 7385.238	  28.00	-2.070	 2.74
